u,v,length
42428047,42428049,83.92699999999999
42428047,42436556,296.14
42428049,42456076,215.839
42428049,42428047,83.92699999999999
42428049,6185259892,68.485
42428052,3785532382,27.585
42428052,42433421,34.038
42428061,42438859,77.302
42428063,42428061,271.69399999999996
42428063,42442463,87.104
42428065,1061531803,18.204
42428065,42428648,80.197
42428068,42428065,105.00999999999999
42428068,42431015,78.875
42428068,42431019,87.289
42428072,42428068,157.10799999999998
42428072,42422592,88.02000000000001
42428072,42438867,80.12899999999999
42428080,42427016,39.803999999999995
42428080,42442733,79.30199999999999
42428082,42428080,140.988
42428082,42444060,88.66399999999999
42428082,42455059,79.11599999999999
42428086,42428082,133.95700000000002
42428086,42433064,79.487
42428086,42433066,88.307
42428090,42428086,118.61200000000001
42428090,42449637,79.46000000000001
42428090,42444069,88.186
42428094,42428090,89.47200000000001
42428094,42429029,90.976
42428094,42429023,85.642
42428103,42444097,116.345
42428103,42427185,85.425
42428107,42428103,84.176
42428114,60926616,55.547
42428114,60925991,92.94
42428124,9166213997,85.013
42428124,42444097,85.862
42428124,42428107,112.605
42428124,42428130,398.998
42428130,595729852,103.08
42428134,42428144,224.23600000000002
42428134,42428130,254.57000000000002
42428144,9338511504,327.719
42428144,42427216,86.893
42428174,4597668026,145.50900000000001
42428174,42428179,78.16700000000002
42428179,42454378,138.397
42428183,42428179,77.801
42428183,4597668028,190.487
42428192,42443671,92.98299999999999
42428192,42428183,78.373
42428198,42428192,86.75399999999999
42428198,4597668040,245.001
42428201,42437881,43.854
42428201,42445867,110.963
42428201,42428198,87.569
42428206,42437881,84.962
42428212,42430274,261.156
42428220,42430279,200.68200000000002
42428223,42438544,139.918
42428223,42428220,84.751
42428227,42437686,200.49099999999999
42428227,42427787,84.279
42428232,42430292,79.595
42428232,42428227,85.068
42428253,42439952,223.091
42428258,42428253,85.596
42428258,42430311,81.77
42428264,42439960,165.038
42428264,42428258,83.296
42428268,42430317,132.932
42428268,42428264,79.329
42428272,42428268,85.25899999999999
42428272,42439964,120.655
42428277,42430324,178.75
42428283,42439972,74.36
42428283,42428277,82.15
42428287,42428283,87.6
42428287,42437363,50.291000000000004
42428287,42430333,222.63500000000002
42428297,42439984,79.937
42428297,42432700,274.598
42428303,42435677,224.58200000000002
42428305,42439996,62.301
42428305,42428303,80.512
42428307,42432589,197.239
42428307,42428305,85.056
42428308,42440001,81.625
42428308,42428307,80.19400000000002
42428310,42435687,189.839
42428310,42428308,79.029
42428312,42440009,88.38700000000001
42428312,42428310,80.612
42428313,42435705,177.308
42428313,42428312,77.681
42428315,42440015,104.86000000000001
42428315,42428313,81.887
42428321,42428315,83.797
42428321,42435710,150.64799999999997
42428328,42428321,78.166
42428328,42431549,144.921
42428329,42440022,178.807
42428329,42428328,93.368
42428329,42435714,94.55799999999999
42428332,42428329,93.598
42428332,42440025,213.02100000000002
42428365,42436202,96.59799999999998
42428365,10316226053,11.261
42428368,42428365,208.344
42428371,42428368,111.22
42428373,42428371,35.199
42428374,42434412,105.859
42428374,42428373,29.906000000000002
42428376,42438155,117.119
42428376,42422042,86.322
42428377,42440335,131.666
42428377,42428376,68.214
42428379,42453934,126.82300000000001
42428379,42428377,12.581000000000001
42428385,42428379,62.909
42428385,8840333846,132.186
42428391,8262936586,41.757999999999996
42428391,1538237434,140.284
42428391,42428385,66.263
42428402,42445356,161.974
42428402,272195271,66.531
42428405,42428402,73.169
42428405,42430540,140.93599999999998
42428408,42429829,119.72999999999999
42428408,42428405,69.04
42428411,42428408,70.715
42428411,42445466,148.128
